!version: $Revision: 1.1.1.1 $
!date: $Date: 2001/07/27 16:54:52 $
!Mapping of GO function_ontology "enzymes" to Enzyme Commission Numbers.
!Michael Ashburner, Cambridge.
!Uses:ENZYME v26.0, May 2000.
!
EC:1.1.1.1 > GO:alcohol dehydrogenase ; GO:0004022
EC:2.6.1.11 > GO:acetylornithine aminotransferase ; GO:0003992
EC:2.6.1.13 > GO:ornithine-oxo acid aminotransferase ; GO:0004587
EC:2.6.1.16 > GO:glutamine-fructose-6-phosphate transaminase (isomerizing) ; GO:0004360
EC:2.6.1.19 > GO:4-aminobutyrate aminotransferase ; GO:0003867
EC:2.6.1.2 > GO:alanine aminotransferase ; GO:0004021
EC:2.6.1.38 > GO:histidine aminotransferase ; GO:0008110
EC:2.6.1.42 > GO:branched-chain amino-acid aminotransferase ; GO:0004084
EC:2.6.1.44 > GO:alanine--glyoxylate aminotransferase ; GO:0008453
EC:2.6.1.5 > GO:tyrosine aminotransferase ; GO:0004838
EC:2.6.1.51 > GO:serine-pyruvate aminotransferase ; GO:0004760
EC:2.6.1.51 > GO:serine-pyruvate aminotransferase, type 1 ; GO:0004761
EC:2.6.1.51 > GO:serine-pyruvate aminotransferase, type 2A ; GO:0004762
EC:2.6.1.51 > GO:serine-pyruvate aminotransferase, type 2B ; GO:0004763
EC:2.6.1.52 > GO:phosphoserine aminotransferase ; GO:0004646
EC:2.6.1.52 > GO:phosphoserine transaminase ; GO:0004648
EC:2.6.1.62 > GO:adenosylmethionine--8-amino-7-oxononanoate aminotransferase ; GO:0004015
EC:2.6.1.9 > GO:histidinol-phosphate aminotransferase ; GO:0004400
EC:2.7.1.1 > GO:hexokinase ; GO:0004396
EC:2.7.1.105 > GO:6-phosphofructo-2-kinase ; GO:0003873
EC:2.7.1.107 > GO:diacylglycerol kinase ; GO:0004143
EC:2.7.1.108 > GO:dolichol kinase ; GO:0004168
EC:2.7.1.11 > GO:6-phosphofructokinase ; GO:0003872
EC:2.7.1.112 > GO:protein tyrosine kinase ; GO:0004713
EC:2.7.1.113 > GO:deoxyguanosine kinase ; GO:0004138
EC:2.7.1.117 > GO:myosin light chain kinase ; GO:0004687
EC:2.7.1.123 > GO:calcium/calmodulin-dependent protein kinase ; GO:0004685
EC:2.7.1.123 > GO:calmodulin-dependent protein kinase I ; GO:0004684
EC:2.7.1.127 > GO:1D-myo-inositol-trisphosphate 3-kinase ; GO:0008440
EC:2.7.1.137 > GO:1-phosphatidylinositol 3-kinase ; GO:0004429
EC:2.7.1.15 > GO:ribokinase ; GO:0004747
EC:2.7.1.17 > GO:xylulokinase ; GO:0004856
EC:2.7.1.2 > GO:glucokinase ; GO:0004340
EC:2.7.1.20 > GO:adenosine kinase ; GO:0004001
EC:2.7.1.21 > GO:thymidine kinase ; GO:0004797
EC:2.7.1.23 > GO:NAD(+) kinase ; GO:0003951
EC:2.7.1.24 > GO:dephospho-CoA kinase ; GO:0004140
EC:2.7.1.25 > GO:adenylsulfate kinase ; GO:0004020
EC:2.7.1.26 > GO:riboflavin kinase ; GO:0008531
EC:2.7.1.29 > GO:glycerone kinase ; GO:0004371
EC:2.7.1.3 > GO:ketohexokinase ; GO:0004454
EC:2.7.1.30 > GO:glycerol kinase ; GO:0004370
EC:2.7.1.32 > GO:choline kinase ; GO:0004103
EC:2.7.1.33 > GO:pantothenate kinase ; GO:0004594
EC:2.7.1.35 > GO:pyridoxal kinase ; GO:0008478
EC:2.7.1.36 > GO:mevalonate kinase ; GO:0004496
EC:2.7.1.37 > GO:protein serine/threonine kinase ; GO:0004674
EC:2.7.1.38 > GO:phosphorylase kinase ; GO:0004689
EC:2.7.1.39 > GO:homoserine kinase ; GO:0004413
EC:2.7.1.40 > GO:pyruvate kinase ; GO:0004743
EC:2.7.1.48 > GO:uridine kinase ; GO:0004849
EC:2.7.1.50 > GO:hydroxyethylthiazole kinase ; GO:0004417
EC:2.7.1.6 > GO:galactokinase ; GO:0004335
EC:2.7.1.67 > GO:1-phosphatidylinositol 4-kinase ; GO:0004430
EC:2.7.1.68 > GO:1-phosphatidylinositol-4-phosphate kinase ; GO:0004431
EC:2.7.1.71 > GO:shikimate kinase ; GO:0004765
EC:2.7.1.74 > GO:deoxycytidine kinase ; GO:0004137
EC:2.7.1.75 > GO:deoxyadenosine kinase ; GO:0004136
EC:2.7.1.82 > GO:ethanolamine kinase ; GO:0004305
EC:2.7.1.91 > GO:sphinganine kinase ; GO:0008481
EC:2.7.1.99 > GO:pyruvate dehydrogenase (lipoamide) kinase ; GO:0004740
EC:2.7.2.11 > GO:glutamate 5-kinase ; GO:0004349
EC:2.7.2.3 > GO:phosphoglycerate kinase ; GO:0004618
EC:2.7.2.4 > GO:aspartate kinase ; GO:0004072
EC:2.7.2.8 > GO:acetylglutamate kinase ; GO:0003991
EC:2.7.3.11 > GO:protein histidine pros-kinase ; GO:0008256
EC:2.7.3.12 > GO:protein histidine tele-kinase ; GO:0008257
EC:2.7.3.2 > GO:creatine kinase ; GO:0004111
EC:2.7.3.3 > GO:arginine kinase ; GO:0004054
EC:2.7.4.14 > GO:cytidylate kinase ; GO:0004127
EC:2.7.4.2 > GO:phosphomevalonate kinase ; GO:0004631
EC:2.7.4.3 > GO:adenylate kinase ; GO:0004017
EC:2.7.4.6 > GO:nucleoside-diphosphate kinase ; GO:0004550
EC:2.7.4.8 > GO:guanylate kinase ; GO:0004385
EC:2.7.4.9 > GO:thymidylate kinase ; GO:0004798
EC:2.7.6.1 > GO:ribose-phosphate pyrophosphokinase ; GO:0004749
EC:2.7.6.2 > GO:thiamin pyrophosphokinase ; GO:0004788
EC:2.7.6.3 > GO:2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase ; GO:0003848
EC:2.7.7.- > GO:RNA guanylyltransferase ; GO:0008192
EC:2.7.7.- > GO:tRNA guanylyltransferase ; GO:0008193
EC:2.7.7.10 > GO:UTP--hexose-1-phosphate uridylyltransferase ; GO:0003982
EC:2.7.7.12 > GO:UDP-glucose-hexose-1-phosphate uridylyltransferase ; GO:0008108
EC:2.7.7.13 > GO:mannose-1-phosphate guanylyltransferase ; GO:0004475
EC:2.7.7.14 > GO:ethanolamine-phosphate cytidylyltransferase ; GO:0004306
EC:2.7.7.15 > GO:cholinephosphate cytidylyltransferase ; GO:0004105
EC:2.7.7.18 > GO:nicotinate-nucleotide adenylyltransferase ; GO:0004515
EC:2.7.7.19 > GO:polynucleotide adenylyltransferase ; GO:0004652
EC:2.7.7.2 > GO:FMN adenylyltransferase ; GO:0003919
EC:2.7.7.23 > GO:UDP-N-acetylglucosamine pyrophosphorylase ; GO:0003977
EC:2.7.7.25 > GO:tRNA adenylyltransferase ; GO:0004810
EC:2.7.7.3 > GO:pantotheine-phosphate adenylyltransferase ; GO:0004595
EC:2.7.7.31 > GO:DNA nucleotidylexotransferase ; GO:0003912
EC:2.7.7.4 > GO:sulfate adenylyltransferase (ATP) ; GO:0004781
EC:2.7.7.41 > GO:phosphatidate cytidylyltransferase ; GO:0004605
EC:2.7.7.48 > GO:RNA-directed RNA polymerase ; GO:0003968
EC:2.7.7.49 > GO:RNA-directed DNA polymerase ; GO:0003964
EC:2.7.7.49 > GO:RNA-directed DNA polymerase, group II intron encoded ; GO:0003967
EC:2.7.7.49 > GO:RNA-directed DNA polymerase, transposon encoded ; GO:0003966
EC:2.7.7.49 > GO:telomeric RNA reverse transcriptase ; GO:0003721
EC:2.7.7.5 > GO:sulfate adenylyltransferase (ADP) ; GO:0004780
EC:2.7.7.50 > GO:mRNA guanylyltransferase ; GO:0004484
EC:2.7.7.53 > GO:ATP adenylyltransferase ; GO:0003877
EC:2.7.7.6 > GO:DNA-directed RNA polymerase ; GO:0003899, GO:0000129
EC:2.7.7.6 > GO:DNA-directed RNA polymerase I ; GO:0003900
EC:2.7.7.6 > GO:DNA-directed RNA polymerase II ; GO:0003901
EC:2.7.7.6 > GO:DNA-directed RNA polymerase III ; GO:0003902
EC:2.7.7.7 > GO:DNA-directed DNA polymerase ; GO:0003887, GO:0003888
EC:2.7.7.7 > GO:alpha DNA polymerase ; GO:0003889
EC:2.7.7.7 > GO:beta DNA polymerase ; GO:0003890
EC:2.7.7.7 > GO:delta DNA polymerase ; GO:0003891
EC:2.7.7.7 > GO:epsilon DNA polymerase ; GO:0003893
EC:2.7.7.7 > GO:gamma DNA-directed DNA polymerase ; GO:0003895
EC:2.7.7.7 > GO:zeta DNA polymerase ; GO:0003894
EC:2.7.7.8 > GO:polyribonucleotide nucleotidyltransferase ; GO:0004654
EC:2.7.7.9 > GO:UTP--glucose-1-phosphate uridylyltransferase ; GO:0003983
EC:2.7.8.1 > GO:ethanolaminephosphotransferase ; GO:0004307
EC:2.7.8.11 > GO:CDP-diacylglycerol-inositol 3-phosphatidyltransferase ; GO:0003881
EC:2.7.8.15 > GO:UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosamine-1-phosphate transferase ; GO:0003975
EC:2.7.8.17 > GO:UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase ; GO:0003976
EC:2.7.8.2 > GO:diacylglycerol cholinephosphotransferase ; GO:0004142
EC:2.7.8.5 > GO:CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase ; GO:0008444
EC:2.7.8.8 > GO:CDP-diacylglycerol-serine O-phosphatidyltransferase ; GO:0003882
EC:2.7.9.3 > GO:selenide,water dikinase ; GO:0004756
EC:2.8.1.1 > GO:thiosulfate sulfurtransferase ; GO:0004792
EC:2.8.1.6 > GO:biotin synthase ; GO:0004076
EC:2.8.2.1 > GO:aryl sulfotransferase ; GO:0004062
EC:2.8.2.17 > GO:cholesterol transfechondroitin 6-sulfotransferase ; GO:0008459
EC:2.8.2.2 > GO:alcohol sulfotransferase ; GO:0004027
EC:2.8.2.20 > GO:protein-tyrosine sulfotransferase ; GO:0008476
EC:2.8.2.23 > GO:heparin-glucosamine 3-O-sulfotransferase ; GO:0008467
EC:2.8.2.4 > GO:estrone sulfotransferase ; GO:0004304
EC:2.8.3.- > GO:CoA-transferase ; GO:0008410
EC:2.8.3.5 > GO:3-oxoacid CoA-transferase ; GO:0008260
EC:2.9.1.1 > GO:cysteinyl-tRNA(Ser) selenium transferase ; GO:0004125
EC:3.-.-.- > GO:GPI-anchor transamidase ; GO:0003923
EC:3.1.-.- > GO:endonuclease ; GO:0004519
EC:3.1.1.- > GO:esterase, unknown substrate ; GO:0004302
EC:3.1.1.1 > GO:carboxylesterase ; GO:0004091
EC:3.1.1.13 > GO:sterol esterase ; GO:0004771
EC:3.1.1.17 > GO:gluconolactonase ; GO:0004341
EC:3.1.1.2 > GO:arylesterase ; GO:0004064
EC:3.1.1.29 > GO:aminoacyl-tRNA hydrolase ; GO:0004045
EC:3.1.1.3 > GO:triacylglycerol lipase ; GO:0004806
EC:3.1.1.34 > GO:lipoprotein lipase ; GO:0004465
EC:3.1.1.4 > GO:phospholipase A2 ; GO:0004623
EC:3.1.1.47 > GO:2-acetyl-1-alkylglycerophosphocholine esterase ; GO:0003847
EC:3.1.1.5 > GO:lysophospholipase ; GO:0004622
EC:3.1.1.59 > GO:juvenile-hormone esterase ; GO:0004453
EC:3.1.1.6 > GO:acetylesterase ; GO:0008126
EC:3.1.1.69 > GO:N-acetylglucosaminylphosphatidylinositol deacetylase ; GO:0000225
EC:3.1.1.7 > GO:acetylcholinesterase ; GO:0003990
EC:3.1.1.8 > GO:cholinesterase ; GO:0004104
EC:3.1.13.- > GO:3'-5' exoribonuclease ; GO:0000175
EC:3.1.13.- > GO:5'-3' exoribonuclease ; GO:0004534
EC:3.1.13.2 > GO:exoribonuclease H ; GO:0004533
EC:3.1.13.4 > GO:poly(A)-specific ribonuclease ; GO:0004535
EC:3.1.2.1 > GO:acetyl-CoA hydrolase ; GO:0003986
EC:3.1.2.14 > GO:oleoyl-[acyl-carrier protein] hydrolase ; GO:0004320
EC:3.1.2.15 > GO:ubiquitin thiolesterase ; GO:0004221
EC:3.1.2.20 > GO:alpha-glucosidase II ; GO:0004562
EC:3.1.2.22 > GO:palmitoyl-protein hydrolase ; GO:0008474
EC:3.1.2.3 > GO:succinyl-CoA hydrolase ; GO:0004778
EC:3.1.2.4 > GO:3-hydroxyisobutyryl-CoA hydrolase ; GO:0003860
EC:3.1.2.6 > GO:hydroxyacylglutathione hydrolase ; GO:0004416
EC:3.1.21.1 > GO:deoxyribonuclease I ; GO:0004530
EC:3.1.22.1 > GO:deoxyribonuclease II ; GO:0004531
EC:3.1.26.- > GO:endoribonuclease ; GO:0004521
EC:3.1.26.3 > GO:ribonuclease III ; GO:0004525
EC:3.1.26.4 > GO:ribonuclease H ; GO:0004523
EC:3.1.26.4 > GO:ribonuclease H1 ; GO:0004524
EC:3.1.26.5 > GO:ribonuclease P ; GO:0004526
EC:3.1.27.5 > GO:pancreatic ribonuclease ; GO:0004522
EC:3.1.27.9 > GO:tRNA-intron endonuclease ; GO:0000213
EC:3.1.3.- > GO:JUN kinase phosphatase ; GO:0008579
EC:3.1.3.- > GO:protein phosphatase ; GO:0004721
EC:3.1.3.- > GO:protein tyrosine/serine/threonine phosphatase ; GO:0008138
EC:3.1.3.- > GO:protein tyrosine/threonine phosphatase ; GO:0008330
EC:3.1.3.1 > GO:alkaline phosphatase ; GO:0004035
EC:3.1.3.11 > GO:fructose-bisphosphatase ; GO:0004331
EC:3.1.3.12 > GO:trehalose phosphatase ; GO:0004805
EC:3.1.3.13 > GO:bisphosphoglycerate phosphatase ; GO:0004083
EC:3.1.3.15 > GO:histidinol-phosphatase ; GO:0004401
EC:3.1.3.16 > GO:protein serine/threonine phosphatase ; GO:0004722
EC:3.1.3.2 > GO:acid phosphatase ; GO:0003993
EC:3.1.3.21 > GO:glycerol-1-phosphatase ; GO:0000121
EC:3.1.3.3 > GO:phosphoserine phosphatase ; GO:0004647
EC:3.1.3.33 > GO:polynucleotide 5'-phosphatase ; GO:0004651
EC:3.1.3.36 > GO:phosphatidylinositol-bisphosphatase ; GO:0004439
EC:3.1.3.4 > GO:phosphatidate phosphatase ; GO:0008195
EC:3.1.3.41 > GO:4-nitrophenylphosphatase ; GO:0003869
EC:3.1.3.43 > GO:pyruvate dehydrogenase (lipoamide) phosphatase ; GO:0004741
EC:3.1.3.46 > GO:fructose-2,6-bisphosphate 2-phosphatase ; GO:0004330
EC:3.1.3.48 > GO:prenylated protein tyrosine phosphatase ; GO:0004727
EC:3.1.3.48 > GO:protein tyrosine phosphatase ; GO:0004725
EC:3.1.3.5 > GO:5'-nucleotidase ; GO:0008253
EC:3.1.3.56 > GO:inositol-1,4,5-triphosphate 5-phosphatase ; GO:0004445
EC:3.1.3.57 > GO:inositol-1,4,-bisphosphate 1-phosphatase ; GO:0004441
EC:3.1.3.6 > GO:3'-nucleotidase ; GO:0008254
EC:3.1.3.61 > GO:inositol-1,4,5-triphosphate 1-phosphatase ; GO:0004444
EC:3.1.3.62 > GO:inositol-1,3,4,5-tetrakiphosphate 3-phosphatase ; GO:0004446
EC:3.1.3.64 > GO:phosphatidylinositol-3-phosphatase ; GO:0004438
EC:3.1.3.65 > GO:inositol-1,4,-bisphosphate 3-phosphatase ; GO:0004442
EC:3.1.3.66 > GO:inositol-1,4,-bisphosphate 4-phosphatase ; GO:0004443
EC:3.1.3.67 > GO:phosphatidylinositol-3,4-bisphosphate 4-phosphatase ; GO:0004440
EC:3.1.3.68 > GO:2-deoxyglucose-6-phosphatase ; GO:0003850
EC:3.1.3.7 > GO:3'(2'),5'-bisphosphate nucleotidase ; GO:0008441
EC:3.1.3.9 > GO:glucose-6-phosphatase ; GO:0004346
EC:3.1.4.1 > GO:phosphodiesterase I ; GO:0004528
EC:3.1.4.10 > GO:1-phosphatidylinositol phosphodiesterase ; GO:0004436
EC:3.1.4.11 > GO:1-phosphatidylinositol-4,5-biphosphate phosphodiesterase ; GO:0004435
EC:3.1.4.12 > GO:sphingomyelin phosphodiesterase ; GO:0004767
EC:3.1.4.17 > GO:3',5'-cyclic-nucleotide phosphodiesterase ; GO:0004114
EC:3.1.4.37 > GO:2',3'-cyclic nucleotide 3'-phosphodiesterase ; GO:0004113
EC:3.1.4.4 > GO:phospholipase D ; GO:0004630
EC:3.1.4.45 > GO:N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase ; GO:0003944
EC:3.1.4.50 > GO:glycoprotein phospholipase D ; GO:0004621
EC:3.1.6.1 > GO:arylsulfatase ; GO:0004065
EC:3.1.6.12 > GO:N-acetylgalactosamine-4-sulfatase ; GO:0003943
EC:3.1.6.13 > GO:iduronate-2-sulfatase ; GO:0004423
EC:3.1.6.14 > GO:N-acetylglucosamine-6-sulfatase ; GO:0008449
EC:3.1.6.2 > GO:steryl-sulfatase ; GO:0004773
EC:3.1.6.8 > GO:cerebroside-sulfatase ; GO:0004098
EC:3.1.8.1 > GO:aryldialkylphosphatase ; GO:0004063
EC:3.2.1.1 > GO:alpha-amylase ; GO:0004556
EC:3.2.1.10 > GO:oligo-1,6-glucosidase ; GO:0004574
EC:3.2.1.106 > GO:mannosyl-oligosaccharide glucosidase (processing A-glucosidase I) ; GO:0004573
EC:3.2.1.108 > GO:lactase ; GO:0000016
EC:3.2.1.113 > GO:mannosyl-oligosaccharide 1,2-alpha-mannosidase ; GO:0004571
EC:3.2.1.114 > GO:mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase ; GO:0004572
EC:3.2.1.130 > GO:glycoprotein endo-alpha-1,2 mannosidase ; GO:0004569
EC:3.2.1.14 > GO:chitinase ; GO:0004568
EC:3.2.1.15 > GO:polygalacturonase ; GO:0004650
EC:3.2.1.17 > GO:lysozyme ; GO:0003796
EC:3.2.1.18 > GO:exo-alpha-sialidase ; GO:0004308
EC:3.2.1.20 > GO:alpha-glucosidase ; GO:0004558
EC:3.2.1.21 > GO:beta-glucosidase ; GO:0008422
EC:3.2.1.22 > GO:alpha-galactosidase ; GO:0004557
EC:3.2.1.23 > GO:beta-galactosidase ; GO:0004565
EC:3.2.1.24 > GO:alpha-mannosidase ; GO:0004559
EC:3.2.1.25 > GO:beta-mannosidase ; GO:0004567
EC:3.2.1.26 > GO:beta-fructofuranosidase ; GO:0004564
EC:3.2.1.28 > GO:alpha-alpha-trehalase ; GO:0004555
EC:3.2.1.3 > GO:glucan 1,4-alpha-glucosidase ; GO:0004339
EC:3.2.1.31 > GO:beta-glucuronidase ; GO:0004566
EC:3.2.1.33 > GO:amylo-1,6-glucosidase ; GO:0004135
EC:3.2.1.35 > GO:hyaluronoglucosaminidase ; GO:0004415
EC:3.2.1.45 > GO:glucosylceramidase ; GO:0004348
EC:3.2.1.46 > GO:galactosylceramidase ; GO:0004336
EC:3.2.1.48 > GO:sucrose-alpha-glucosidase ; GO:0004575
EC:3.2.1.49 > GO:alpha-N-acetylgalactosaminidase ; GO:0008456
EC:3.2.1.50 > GO:alpha-N-acetylglucosaminidase ; GO:0004561
EC:3.2.1.51 > GO:alpha-L-fucosidase ; GO:0004560
EC:3.2.1.52 > GO:beta-N-acetylhexosaminidase ; GO:0004563
EC:3.2.1.58 > GO:glucan 1,3-beta-glucosidase ; GO:0004338
EC:3.2.1.76 > GO:L-iduronidase ; GO:0003940
EC:3.2.2.- > GO:uracil-DNA glycosylase ; GO:0004844
EC:3.2.2.1 > GO:purine nucleosidase ; GO:0008477
EC:3.2.2.19 > GO:ADP-ribosylarginine hydrolase ; GO:0003875
EC:3.2.2.21 > GO:DNA-3-methyladenine glycosidase II ; GO:0003905
EC:3.2.2.23 > GO:formamidopyrimidine-DNA glycosylase ; GO:0003907
EC:3.2.2.5 > GO:NAD(+) nucleosidase ; GO:0003953
EC:3.3.1.1 > GO:adenosylhomocysteinase ; GO:0004013
EC:3.3.2.3 > GO:epoxide hydrolase ; GO:0004301
EC:3.3.2.6 > GO:leukotriene-A4 hydrolase ; GO:0004463
EC:3.4.11.- > GO:aminopeptidase ; GO:0004177
EC:3.4.11.1 > GO:leucyl aminopeptidase ; GO:0004178
EC:3.4.11.18 > GO:methionyl aminopeptidase ; GO:0004239
EC:3.4.11.2 > GO:membrane alanine aminopeptidase ; GO:0004179
EC:3.4.11.22 > GO:vacuolar aminopeptidase I ; GO:0004250
EC:3.4.11.7 > GO:glutamyl aminopeptidase ; GO:0004230
EC:3.4.11.9 > GO:Xaa-Pro aminopeptidase ; GO:0008451
EC:3.4.13.19 > GO:membrane dipeptidase ; GO:0004237
EC:3.4.13.9 > GO:Xaa-Pro dipeptidase ; GO:0004251
EC:3.4.14.1 > GO:dipeptidyl-peptidase I ; GO:0004214
EC:3.4.14.10 > GO:tripeptidyl-peptidase II ; GO:0004294
EC:3.4.14.5 > GO:dipeptidyl-peptidase IV ; GO:0004274
EC:3.4.15.1 > GO:peptidyl-dipeptidase A ; GO:0004246
EC:3.4.16.2 > GO:lysosomal pro-X carboxypeptidase ; GO:0004188
EC:3.4.16.5 > GO:carboxypeptidase C ; GO:0004186
EC:3.4.16.5 > GO:vacuolar carboxypeptidase Y ; GO:0004258
EC:3.4.16.6 > GO:carboxypeptidase D ; GO:0004187
EC:3.4.17.1 > GO:carboxypeptidase A ; GO:0004182
EC:3.4.17.10 > GO:carboxypeptidase H ; GO:0004183
EC:3.4.17.17 > GO:tubulinyl-tyr carboxypeptidase ; GO:0004189
EC:3.4.17.22 > GO:metallocarboxypeptidase D ; GO:0008472
EC:3.4.17.3 > GO:lysine (arginine) carboxypeptidase ; GO:0004184
EC:3.4.17.4 > GO:gly-X carboxypeptidase ; GO:0004226
EC:3.4.19.1 > GO:acylaminoacyl-peptidase ; GO:0004254
EC:3.4.19.12 > GO:ubiquitinyl hydrolase 1 ; GO:0008577
EC:3.4.19.3 > GO:pyroglutamyl-peptidase I ; GO:0004219
EC:3.4.19.9 > GO:gamma-glutamyl hydrolase ; GO:0008464
EC:3.4.21.- > GO:pancreatic elastase ; GO:0008132
EC:3.4.21.- > GO:plasminogen activator ; GO:0008243
EC:3.4.21.1 > GO:chymotrypsin ; GO:0004263
EC:3.4.21.10 > GO:acrosin ; GO:0004284
EC:3.4.21.20 > GO:cathepsin G ; GO:0004261
EC:3.4.21.21 > GO:blood coagulation factor VII ; GO:0003802
EC:3.4.21.22 > GO:blood coagulation factor IX ; GO:0003803
EC:3.4.21.26 > GO:prolyl oligopeptidase ; GO:0004287
EC:3.4.21.27 > GO:blood coagulation factor XI ; GO:0003805
EC:3.4.21.34 > GO:plasma kallikrein ; GO:0003807
EC:3.4.21.35 > GO:tissue kallikrein ; GO:0004293
EC:3.4.21.36 > GO:pancreatic elastase I ; GO:0008125
EC:3.4.21.38 > GO:blood coagulation factor XII ; GO:0003806
EC:3.4.21.4 > GO:trypsin ; GO:0004295
EC:3.4.21.41 > GO:complement component C1r ; GO:0003815
EC:3.4.21.42 > GO:complement component C1s ; GO:0003816
EC:3.4.21.43 > GO:classical-complement pathway C3/C5 convertase ; GO:0003813
EC:3.4.21.45 > GO:complement factor I ; GO:0003818
EC:3.4.21.46 > GO:complement factor D ; GO:0003817
EC:3.4.21.47 > GO:alternative-complement pathway C3/C5 convertase ; GO:0003812
EC:3.4.21.48 > GO:cerevisin ; GO:0004262
EC:3.4.21.5 > GO:thrombin ; GO:0003809
EC:3.4.21.54 > GO:gamma-renin ; GO:0004253
EC:3.4.21.6 > GO:blood coagulation factor X ; GO:0003804
EC:3.4.21.61 > GO:kexin ; GO:0004290
EC:3.4.21.62 > GO:subtilisin ; GO:0004291
EC:3.4.21.68 > GO:T-plasminogen activator ; GO:0004296
EC:3.4.21.69 > GO:protein C (activated) ; GO:0003808
EC:3.4.21.7 > GO:plasmin ; GO:0004283
EC:3.4.21.71 > GO:pancreatic elastase II ; GO:0004281
EC:3.4.21.73 > GO:U-plasminogen activator ; GO:0004297
EC:3.4.21.75 > GO:furin ; GO:0004276
EC:3.4.21.78 > GO:granzyme A ; GO:0004277
EC:3.4.21.79 > GO:granzyme B ; GO:0004278
EC:3.4.21.9 > GO:enteropeptidase ; GO:0004275
EC:3.4.21.92 > GO:endopeptidase Clp ; GO:0008462
EC:3.4.21.93 > GO:proprotein convertase 1 ; GO:0004285
EC:3.4.21.94 > GO:proprotein convertase 2 ; GO:0004286
EC:3.4.22.- > GO:caspase ; GO:0004199
EC:3.4.22.1 > GO:cathepsin B ; GO:0004213
EC:3.4.22.14 > GO:actinidain ; GO:0008129
EC:3.4.22.15 > GO:cathepsin L ; GO:0004217
EC:3.4.22.16 > GO:cathepsin H ; GO:0004215
EC:3.4.22.17 > GO:calpain ; GO:0004198
EC:3.4.22.27 > GO:cathepsin S ; GO:0004218
EC:3.4.22.34 > GO:legumain ; GO:0001509
EC:3.4.22.36 > GO:caspase-1 ; GO:0004201
EC:3.4.22.38 > GO:cathepsin K ; GO:0004216
EC:3.4.22.40 > GO:bleomycin hydrolase ; GO:0008423
EC:3.4.23.1 > GO:pepsin A ; GO:0004194
EC:3.4.23.15 > GO:renin ; GO:0004195
EC:3.4.23.25 > GO:saccharopepsin ; GO:0004196
EC:3.4.23.34 > GO:cathepsin E ; GO:0004193
EC:3.4.23.35 > GO:barrierpepsin ; GO:0004191
EC:3.4.23.5 > GO:cathepsin D ; GO:0004192
EC:3.4.24 > GO:collagenase ; GO:0008133
EC:3.4.24.- > GO:prenyl protein specific endopeptidase ; GO:0008319
EC:3.4.24.- > GO:stromelysin 3 ; GO:0004249
EC:3.4.24.11 > GO:neprilysin ; GO:0004245
EC:3.4.24.17 > GO:stromelysin 1 ; GO:0004248
EC:3.4.24.18 > GO:meprin A ; GO:0004238
EC:3.4.24.21 > GO:astacin ; GO:0008533
EC:3.4.24.23 > GO:matrilysin ; GO:0004235
EC:3.4.24.24 > GO:gelatinase A ; GO:0004228
EC:3.4.24.34 > GO:neutrophil collagenase ; GO:0008130
EC:3.4.24.35 > GO:gelatinase B ; GO:0004229
EC:3.4.24.37 > GO:saccharolysin ; GO:0004247
EC:3.4.24.56 > GO:insulysin ; GO:0004231
EC:3.4.24.57 > GO:O-sialoglycoprotein endopeptidase ; GO:0008450
EC:3.4.24.59 > GO:mitochondrial intermediate peptidase ; GO:0004243
EC:3.4.24.64 > GO:mitochondrial processing peptidase ; GO:0004240
EC:3.4.24.65 > GO:macrophage elastase ; GO:0004234
EC:3.4.24.7 > GO:interstitial collagenase ; GO:0004232
EC:3.4.25.- > GO:threonine endopeptidase ; GO:0004298
EC:3.4.25.1 > GO:multicatalytic endopeptidase ; GO:0004299
EC:3.5.1.1 > GO:asparaginase ; GO:0004067
EC:3.5.1.14 > GO:aminoacylase ; GO:0004046
EC:3.5.1.2 > GO:glutaminase ; GO:0004359
EC:3.5.1.22 > GO:pantothenase ; GO:0004593
EC:3.5.1.25 > GO:N-acetylglucosamine-6-phosphate deacetylase ; GO:0008448
EC:3.5.1.26 > GO:N4-(beta-N-acetylglucosaminyl)-L-asparaginase ; GO:0003948
EC:3.5.1.31 > GO:formylmethionine deformylase ; GO:0008463
EC:3.5.1.4 > GO:amidase ; GO:0004040
EC:3.5.1.41 > GO:chitin deacetylase ; GO:0004099
EC:3.5.1.49 > GO:formamidase ; GO:0004328
EC:3.5.1.52 > GO:peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase ; GO:0000224
EC:3.5.1.54 > GO:allophanate hydrolase ; GO:0004039
EC:3.5.1.55 > GO:long-chain-fatty-acyl-glutamate deacylase ; GO:0008421
EC:3.5.1.6 > GO:beta-ureidopropionase ; GO:0003837
EC:3.5.1.9 > GO:arylformamidase ; GO:0004061
EC:3.5.2.2 > GO:dihydropyrimidinase ; GO:0004157
EC:3.5.2.3 > GO:dihydroorotase ; GO:0004151
EC:3.5.2.5 > GO:allantoinase ; GO:0004038
